"idCCAA_INE","idComunidad","comunidad","idProvincia","provincia","idMunicipio","municipio","num_incendios","supquemada"
"08",11,"CASTILLA-MANCHA",16,"CUENCA",16071,"CASTILLO-ALBARÁÑEZ",5,8.6900
16,"01","EUSKADI",48,"VIZCAYA",48096,"ZALLA",5,33.1000
"07",17,"CASTILLA Y LEON",37,"SALAMANCA",37224,"ORBADA LA",5,1.1500
"08",11,"CASTILLA-MANCHA",13,"CIUDAD REAL",13053,"MANZANARES",5,3.0600
"02",10,"ARAGON",44,"TERUEL",44174,"ORIHUELA DEL TREMEDAL",5,0.1200
"09","02","CATALUÑA","08","BARCELONA","08281","TEIÀ",5,8.5100
10,"09","C. VALENCIANA",46,"VALENCIA",46064,"BENIMUSLEM",5,1.0400
"02",10,"ARAGON",44,"TERUEL",44257,"VILLAR DEL COBO",5,0.0700
"08",11,"CASTILLA-MANCHA",19,"GUADALAJARA",19194,"MORATILLA DE LOS MELEROS",5,22.2900
"02",10,"ARAGON",22,"HUESCA",22041,"AZARA",5,4.6200
17,"07","LA RIOJA",26,"LA RIOJA",26017,"ARNEDILLO",5,157.6700
"07",17,"CASTILLA Y LEON","09","BURGOS","09113","COVARRUBIAS",5,4.2500
16,"01","EUSKADI","01","ALAVA","01041","NAVARIDAS",5,9.3400
